Date : 2024-04-11 14:43:19
Directory : g:\goProj\goalboard-collab
Total : 78 files,  6204 codes, 218 comments, 555 blanks, all 6977 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| g:\goProj\goalboard-collab\backend\buildtool\main.go                                         | Go                 |          1 |         19 |          3 |         23 |
| g:\goProj\goalboard-collab\backend\buildtool\runbuild\build.go                               | Go                 |          0 |         55 |         20 |         75 |
| g:\goProj\goalboard-collab\backend\database\migrations\000001_create_user_table.down.sql     | SQL                |          3 |          0 |          2 |          5 |
| g:\goProj\goalboard-collab\backend\database\migrations\000001_create_user_table.up.sql       | SQL                |          7 |          0 |          3 |         10 |
| g:\goProj\goalboard-collab\backend\database\migrations\000002_create_goals_table.down.sql    | SQL                |          3 |          0 |          3 |          6 |
| g:\goProj\goalboard-collab\backend\database\migrations\000002_create_goals_table.up.sql      | SQL                |         12 |          0 |          3 |         15 |
| g:\goProj\goalboard-collab\backend\database\migrations\000003_create_activity_table.down.sql | SQL                |          3 |          0 |          3 |          6 |
| g:\goProj\goalboard-collab\backend\database\migrations\000003_create_activity_table.up.sql   | SQL                |         10 |          0 |          4 |         14 |
| g:\goProj\goalboard-collab\backend\database\mod.go                                           | Go                 |          1 |          0 |          0 |          1 |
| g:\goProj\goalboard-collab\backend\database\psql.go                                          | Go                 |         32 |          1 |         17 |         50 |
| g:\goProj\goalboard-collab\backend\env\mod.go                                                | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\backend\env\readfile.go                                           | Go                 |         29 |          2 |          7 |         38 |
| g:\goProj\goalboard-collab\backend\go.mod                                                    | Go Module File     |         14 |          0 |          4 |         18 |
| g:\goProj\goalboard-collab\backend\go.sum                                                    | Go Checksum File   |         18 |          0 |          1 |         19 |
| g:\goProj\goalboard-collab\backend\main.go                                                   | Go                 |         31 |          3 |         13 |         47 |
| g:\goProj\goalboard-collab\backend\models\dbQueryModels.go                                   | Go                 |         14 |          5 |          6 |         25 |
| g:\goProj\goalboard-collab\backend\models\goal\goal_model.go                                 | Go                 |         48 |          0 |         19 |         67 |
| g:\goProj\goalboard-collab\backend\models\goal\mod.go                                        | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\backend\models\mod.go                                             | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\backend\models\user\mod.go                                        | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\backend\models\user\user.go                                       | Go                 |         37 |          0 |         16 |         53 |
| g:\goProj\goalboard-collab\backend\pw\check.go                                               | Go                 |         12 |          1 |          3 |         16 |
| g:\goProj\goalboard-collab\backend\pw\mod.go                                                 | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\backend\router\main.go                                            | Go                 |         93 |         26 |         27 |        146 |
| g:\goProj\goalboard-collab\backend\router\mod.go                                             | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\backend\routes\activities.go                                      | Go                 |         42 |          0 |         14 |         56 |
| g:\goProj\goalboard-collab\backend\routes\goals.go                                           | Go                 |        156 |          9 |         42 |        207 |
| g:\goProj\goalboard-collab\backend\routes\healthcheck.go                                     | Go                 |         15 |          0 |          6 |         21 |
| g:\goProj\goalboard-collab\backend\routes\login.go                                           | Go                 |         70 |          6 |         18 |         94 |
| g:\goProj\goalboard-collab\backend\routes\logout.go                                          | Go                 |         17 |          1 |          4 |         22 |
| g:\goProj\goalboard-collab\backend\routes\mod.go                                             | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\backend\routes\register.go                                        | Go                 |         80 |          3 |         26 |        109 |
| g:\goProj\goalboard-collab\backend\utils\cors.go                                             | Go                 |          5 |          0 |          3 |          8 |
| g:\goProj\goalboard-collab\backend\utils\ctx.go                                              | Go                 |          2 |          0 |          2 |          4 |
| g:\goProj\goalboard-collab\backend\utils\invariant.go                                        | Go                 |         11 |          0 |          3 |         14 |
| g:\goProj\goalboard-collab\backend\utils\jwt.go                                              | Go                 |         14 |          0 |          7 |         21 |
| g:\goProj\goalboard-collab\backend\utils\logger.go                                           | Go                 |         16 |          5 |          8 |         29 |
| g:\goProj\goalboard-collab\backend\utils\mod.go                                              | Go                 |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\compose.yaml                                                      | YAML               |         62 |          0 |          7 |         69 |
| g:\goProj\goalboard-collab\frontend\.eslintrc.cjs                                            | JavaScript         |         18 |          0 |          1 |         19 |
| g:\goProj\goalboard-collab\frontend\Dockerfile                                               | Docker             |         16 |          1 |         10 |         27 |
| g:\goProj\goalboard-collab\frontend\README.md                                                | Markdown           |         22 |          0 |          9 |         31 |
| g:\goProj\goalboard-collab\frontend\index.html                                               | HTML               |         13 |          0 |          1 |         14 |
| g:\goProj\goalboard-collab\frontend\package-lock.json                                        | JSON               |      4,261 |          0 |          1 |      4,262 |
| g:\goProj\goalboard-collab\frontend\package.json                                             | JSON               |         33 |          0 |          1 |         34 |
| g:\goProj\goalboard-collab\frontend\postcss.config.js                                        | JavaScript         |          6 |          0 |          1 |          7 |
| g:\goProj\goalboard-collab\frontend\public\vite.svg                                          | XML                |          1 |          0 |          0 |          1 |
| g:\goProj\goalboard-collab\frontend\src\Home.tsx                                             | TypeScript JSX     |         41 |          0 |          3 |         44 |
| g:\goProj\goalboard-collab\frontend\src\Login.tsx                                            | TypeScript JSX     |         69 |         22 |         15 |        106 |
| g:\goProj\goalboard-collab\frontend\src\Register.tsx                                         | TypeScript JSX     |         97 |         15 |         20 |        132 |
| g:\goProj\goalboard-collab\frontend\src\UserActivitiesNew.tsx                                | TypeScript JSX     |         94 |          1 |         13 |        108 |
| g:\goProj\goalboard-collab\frontend\src\UserGoals.tsx                                        | TypeScript JSX     |         36 |          8 |          5 |         49 |
| g:\goProj\goalboard-collab\frontend\src\UserGoalsNew.tsx                                     | TypeScript JSX     |         97 |          0 |         14 |        111 |
| g:\goProj\goalboard-collab\frontend\src\assets\react.svg                                     | XML                |          1 |          0 |          0 |          1 |
| g:\goProj\goalboard-collab\frontend\src\components\Button.tsx                                | TypeScript JSX     |         21 |          0 |          5 |         26 |
| g:\goProj\goalboard-collab\frontend\src\components\Heading.tsx                               | TypeScript JSX     |         27 |          0 |          5 |         32 |
| g:\goProj\goalboard-collab\frontend\src\components\Input.tsx                                 | TypeScript JSX     |         24 |          0 |          5 |         29 |
| g:\goProj\goalboard-collab\frontend\src\components\Nav.tsx                                   | TypeScript JSX     |         12 |          0 |          2 |         14 |
| g:\goProj\goalboard-collab\frontend\src\components\Select.tsx                                | TypeScript JSX     |         24 |          0 |          5 |         29 |
| g:\goProj\goalboard-collab\frontend\src\constants.ts                                         | TypeScript         |          1 |          0 |          1 |          2 |
| g:\goProj\goalboard-collab\frontend\src\index.css                                            | CSS                |          3 |          0 |          1 |          4 |
| g:\goProj\goalboard-collab\frontend\src\main.tsx                                             | TypeScript JSX     |         46 |          0 |          6 |         52 |
| g:\goProj\goalboard-collab\frontend\src\utils\activity.ts                                    | TypeScript         |         19 |          0 |          4 |         23 |
| g:\goProj\goalboard-collab\frontend\src\utils\goal.ts                                        | TypeScript         |         21 |          0 |          7 |         28 |
| g:\goProj\goalboard-collab\frontend\src\utils\loader-data.ts                                 | TypeScript         |          6 |          0 |          2 |          8 |
| g:\goProj\goalboard-collab\frontend\src\utils\user.ts                                        | TypeScript         |         43 |          0 |         11 |         54 |
| g:\goProj\goalboard-collab\frontend\src\vite-env.d.ts                                        | TypeScript         |          0 |          1 |          1 |          2 |
| g:\goProj\goalboard-collab\frontend\tailwind.config.js                                       | JavaScript         |         11 |          1 |          1 |         13 |
| g:\goProj\goalboard-collab\frontend\tsconfig.json                                            | JSON with Comments |         21 |          2 |          3 |         26 |
| g:\goProj\goalboard-collab\frontend\tsconfig.node.json                                       | JSON               |         10 |          0 |          1 |         11 |
| g:\goProj\goalboard-collab\frontend\vite.config.ts                                           | TypeScript         |          5 |          1 |          2 |          8 |
| g:\goProj\goalboard-collab\package-lock.json                                                 | JSON               |          6 |          0 |          1 |          7 |
| Total                                                                                        |                    |      6,204 |        218 |        555 |      6,977 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
